"('balancing', 'loss_load')","('balancing', 'overgeneration')","('balancing', 'reward')","('battery', 'charge_amount')","('battery', 'current_charge')","('battery', 'discharge_amount')","('battery', 'reward')","('battery', 'soc')","('load', 'load_current')","('load', 'load_met')","('load', 'reward')","('renewable', 'curtailment')","('renewable', 'renewable_current')","('renewable', 'renewable_used')","('renewable', 'reward')","('balance', 'reward')","('balance', 'shaped_reward')","('balance', 'overall_provided_to_microgrid')","('balance', 'overall_absorbed_from_microgrid')","('balance', 'flex_provided_to_microgrid')","('balance', 'flex_absorbed_from_microgrid')","('balance', 'controllable_provided_to_microgrid')","('balance', 'controllable_absorbed_from_microgrid')","('balance', 'fixed_provided_to_microgrid')","('balance', 'fixed_absorbed_from_microgrid')",time,price_dkk_per_kwh,wind_kw,batt_cmd
3.797440314869914,0.0,-37.97440314869914,0.0,0.0,0.0,-0.0,0.0,-4.888071316241656,4.888071316241656,0.0,0.0,1.090631001371742,1.090631001371742,0.0,-37.97440314869914,-37.97440314869914,4.888071316241656,4.888071316241656,4.888071316241656,0.0,0.0,0.0,0.0,4.888071316241656,2025-10-05 21:30:00,0.035466825,1.090631001371742,1.0
2.2058663091888273,0.0,-22.058663091888274,0.0,0.0,0.0,-0.0,0.0,-4.882299779696372,4.882299779696372,0.0,0.0,2.6764334705075448,2.6764334705075448,0.0,-22.058663091888274,-22.058663091888274,4.882299779696372,4.882299779696372,4.882299779696372,0.0,0.0,0.0,0.0,4.882299779696372,2025-10-05 21:45:00,0.031136139,2.6764334705075448,1.0
1.7876295385593433,0.0,-17.876295385593433,0.0,0.0,0.0,-0.0,0.0,-4.464063009066888,4.464063009066888,0.0,0.0,2.6764334705075448,2.6764334705075448,0.0,-17.876295385593433,-17.876295385593433,4.464063009066888,4.464063009066888,4.464063009066888,0.0,0.0,0.0,0.0,4.464063009066888,2025-10-05 22:00:00,0.042933525,2.6764334705075448,1.0
2.3268915902802996,0.0,-23.268915902802995,0.0,0.0,0.0,-0.0,0.0,-5.003325060787844,5.003325060787844,0.0,0.0,2.6764334705075448,2.6764334705075448,0.0,-23.268915902802995,-23.268915902802995,5.003325060787844,5.003325060787844,5.003325060787844,0.0,0.0,0.0,0.0,5.003325060787844,2025-10-05 22:15:00,0.036288162,2.6764334705075448,1.0
1.9533522583868854,0.0,-19.533522583868855,0.0,0.0,0.0,-0.0,0.0,-4.62978572889443,4.62978572889443,0.0,0.0,2.6764334705075448,2.6764334705075448,0.0,-19.533522583868855,-19.533522583868855,4.62978572889443,4.62978572889443,4.62978572889443,0.0,0.0,0.0,0.0,4.62978572889443,2025-10-05 22:30:00,0.0445015319999999,2.6764334705075448,1.0
3.3182619290539357,0.0,-33.18261929053936,0.0,0.0,0.0,-0.0,0.0,-5.858632299424306,5.858632299424306,0.0,0.0,2.54037037037037,2.54037037037037,0.0,-33.18261929053936,-33.18261929053936,5.858632299424306,5.858632299424306,5.858632299424306,0.0,0.0,0.0,0.0,5.858632299424306,2025-10-05 22:45:00,0.031658808,2.54037037037037,1.0
4.52013513945842,0.0,-45.201351394584194,0.0,0.0,0.0,-0.0,0.0,-7.06050550982879,7.06050550982879,0.0,0.0,2.54037037037037,2.54037037037037,0.0,-45.201351394584194,-45.201351394584194,7.06050550982879,7.06050550982879,7.06050550982879,0.0,0.0,0.0,0.0,7.06050550982879,2025-10-05 23:00:00,0.036437496,2.54037037037037,1.0
5.692287334561225,0.0,-56.92287334561225,0.0,0.0,0.0,-0.0,0.0,-8.232657704931595,8.232657704931595,0.0,0.0,2.54037037037037,2.54037037037037,0.0,-56.92287334561225,-56.92287334561225,8.232657704931595,8.232657704931595,8.232657704931595,0.0,0.0,0.0,0.0,8.232657704931595,2025-10-05 23:15:00,0.03061347,2.54037037037037,1.0
5.38141038910278,0.0,-53.8141038910278,0.0,0.0,0.0,-0.0,0.0,-7.92178075947315,7.92178075947315,0.0,0.0,2.54037037037037,2.54037037037037,0.0,-53.8141038910278,-53.8141038910278,7.92178075947315,7.92178075947315,7.92178075947315,0.0,0.0,0.0,0.0,7.92178075947315,2025-10-05 23:30:00,0.0295681319999999,2.54037037037037,1.0
5.875935927729012,0.0,-58.759359277290116,0.0,0.0,0.0,-0.0,0.0,-7.695565557358641,7.695565557358641,0.0,0.0,1.8196296296296293,1.8196296296296293,0.0,-58.759359277290116,-58.759359277290116,7.695565557358641,7.695565557358641,7.695565557358641,0.0,0.0,0.0,0.0,7.695565557358641,2025-10-05 23:45:00,0.025088112,1.8196296296296293,1.0
5.923829388080391,0.0,-59.238293880803916,0.41739130434782545,0.0,0.0,-0.0,0.0,-7.326067713362195,7.326067713362195,0.0,0.0,1.8196296296296293,1.8196296296296293,0.0,-59.238293880803916,-59.238293880803916,7.743459017710021,7.743459017710021,7.743459017710021,0.0,0.0,0.41739130434782545,0.0,7.326067713362195,2025-10-06 00:00:00,0.231318366,1.8196296296296293,0.5
4.47870159628633,0.0,-44.78701596286329,0.41739130434782545,0.38399999999999945,0.0,-0.0,0.03839999999999995,-5.8809399215681335,5.8809399215681335,0.0,0.0,1.8196296296296293,1.8196296296296293,0.0,-44.78701596286329,-44.78701596286329,6.298331225915959,6.298331225915959,6.298331225915959,0.0,0.0,0.41739130434782545,0.0,5.8809399215681335,2025-10-06 00:15:00,0.183158158,1.8196296296296293,0.5
3.046804896225332,0.0,-30.46804896225332,0.0,0.7679999999999989,0.7065599999999991,-0.0,0.0767999999999999,-5.57299452585496,5.57299452585496,0.0,0.0,1.8196296296296293,1.8196296296296293,0.0,-30.46804896225332,-30.46804896225332,5.572994525854961,5.57299452585496,4.866434525854962,0.0,0.7065599999999991,0.0,0.0,5.57299452585496,2025-10-06 00:30:00,0.117749859,1.8196296296296293,1.0
