time,soc_kwh,gen_kw,base_kw,wind_kw,pv_kw
2025-10-17 20:00:00,2.126603713921978,0.0,0.03995433789954338,0.0,0.0
2025-10-17 21:00:00,2.0849484371411693,0.0,0.03995433789954338,0.0,0.0
2025-10-17 22:00:00,2.043293160360361,0.0,0.03995433789954338,0.0,0.0
2025-10-17 23:00:00,2.0016378835795523,0.0,0.03995433789954338,0.0,0.0
2025-10-18 00:00:00,1.959982606798744,0.0,0.03995433789954338,0.0,0.0
2025-10-18 01:00:00,1.9183273300179358,0.0,0.03995433789954338,0.0,0.0
2025-10-18 02:00:00,1.8766720532371275,0.0,0.03995433789954338,0.0,0.0
2025-10-18 03:00:00,1.8350167764563192,0.0,0.03995433789954338,0.0,0.0
2025-10-18 04:00:00,1.793361499675511,0.0,0.03995433789954338,0.0,0.0
2025-10-18 05:00:00,1.7517062228947027,0.0,0.03995433789954338,0.0,0.0
2025-10-18 06:00:00,1.7100509461138944,0.0,0.03995433789954338,0.0,0.0
2025-10-18 07:00:00,1.6683956693330861,0.0,0.03995433789954338,0.0,0.0
2025-10-18 08:00:00,1.6267403925522779,0.0,0.03995433789954338,0.0,0.0
2025-10-18 09:00:00,1.5850851157714696,0.0,0.03995433789954338,0.0,0.0
2025-10-18 10:00:00,1.5434298389906613,0.0,0.03995433789954338,0.0,0.0
2025-10-18 11:00:00,1.501774562209853,0.0,0.03995433789954338,0.0,0.0
2025-10-18 12:00:00,1.4601235758490871,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-18 13:00:00,1.4241788481446156,0.005477366255144,0.03995433789954338,0.005477366255144,0.0
2025-10-18 14:00:00,1.400097131857177,0.0168559670781892,0.03995433789954338,0.0168559670781892,0.0
2025-10-18 15:00:00,1.3760154155697386,0.0168559670781892,0.03995433789954338,0.0168559670781892,0.0
2025-10-18 16:00:00,1.340070687865267,0.005477366255144,0.03995433789954338,0.005477366255144,0.0
2025-10-18 17:00:00,1.3159889715778286,0.0168559670781892,0.03995433789954338,0.0168559670781892,0.0
2025-10-18 18:00:00,1.2752604255261628,0.0008888888888888,0.03995433789954338,0.0008888888888888,0.0
2025-10-18 19:00:00,1.233609439165397,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-18 20:00:00,1.1919541623845886,0.0,0.03995433789954338,0.0,0.0
2025-10-18 21:00:00,1.1502988856037804,0.0,0.03995433789954338,0.0,0.0
2025-10-18 22:00:00,1.1095703395521146,0.0008888888888888,0.03995433789954338,0.0008888888888888,0.0
2025-10-18 23:00:00,1.0688417935004488,0.0008888888888888,0.03995433789954338,0.0008888888888888,0.0
2025-10-19 00:00:00,1.028113247448783,0.0008888888888888,0.03995433789954338,0.0008888888888888,0.0
2025-10-19 01:00:00,0.986462261088017,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-19 02:00:00,0.944811274727251,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-19 03:00:00,0.903160288366485,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-19 04:00:00,0.8624317423148191,0.0008888888888888,0.03995433789954338,0.0008888888888888,0.0
2025-10-19 05:00:00,0.8264870146103476,0.005477366255144,0.03995433789954338,0.005477366255144,0.0
2025-10-19 06:00:00,0.7848360282495815,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-19 07:00:00,0.7431850418888155,4.11522633744857e-06,0.03995433789954338,4.11522633744857e-06,0.0
2025-10-19 08:00:00,0.7015297651080072,0.0,0.03995433789954338,0.0,0.0
2025-10-19 09:00:00,0.659874488327199,0.0,0.03995433789954338,0.0,0.0
2025-10-19 10:00:00,0.6182192115463907,0.0,0.03995433789954338,0.0,0.0
2025-10-19 11:00:00,0.5765639347655824,0.0,0.03995433789954338,0.0,0.0
2025-10-19 12:00:00,0.5358353887139166,0.0008888888888888,0.03995433789954338,0.0008888888888888,0.0
2025-10-19 13:00:00,0.5339136919450952,0.038111111111111,0.03995433789954338,0.038111111111111,0.0
2025-10-19 14:00:00,0.5098319756576567,0.0168559670781892,0.03995433789954338,0.0168559670781892,0.0
2025-10-19 15:00:00,0.4857502593702182,0.0168559670781892,0.03995433789954338,0.0168559670781892,0.0
